"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.DOWNEY","2007-2017","DET","R",60,276.63,1,3,4,3,0.87,0.65,2.32,0.5,210,205,5,50.6,-8.36,8,9,-1,47.06,-12.64,8.13,9.05,-0.92,47.32,-10.81,36,20,-16,24,5.21,1.14,0.25,5.88,99.02,82.61,8.15,26.15,57.42,27.13,48.76
"AARON.EKBLAD","2007-2017","FLA","D",227,4916.72,37,58,95,59,1.16,0.72,129.46,1.58,4829,3701,1128,56.61,9.32,234,181,53,56.39,9.36,229.28,178.43,50.85,56.24,9.22,62,40,-22,1083,13.22,30.94,0.38,6.41,99.94,63.72,35.55,30.8,53.52,30.65,46.71
"AARON.GAGNON","2007-2017","DAL/WPG","C",38,318.52,3,2,5,3,0.94,0.57,6.9,1.3,291,289,2,50.17,0.13,8,16,-8,33.33,-10.84,12.63,11.14,1.49,53.13,3.32,2,1,-1,59,11.11,2.89,0.54,10.71,96.23,45.81,14.03,27.78,46.01,28.76,51.3
"AARON.JOHNSON","2007-2017","NYI/CHI/EDM/CGY/CBJ/BOS","D",175,2667.94,10,24,34,20,0.76,0.45,33.32,0.75,2231,2435,-204,47.81,-2.43,113,118,-5,48.92,0.47,101.48,109.98,-8.5,47.99,-2.47,61,29,-32,328,7.38,7.43,0.17,6.67,100.51,46.86,25.32,Inf,49.34,Inf,50.95
"AARON.MACKENZIE","2007-2017","COL","D",5,73.17,0,0,0,0,0,0,1.42,1.16,56,64,-8,46.67,6.67,1,1,0,50,-5.56,2.42,2.73,-0.31,46.99,4.52,0,1,1,8,6.56,0.31,0.25,0,99.55,45.16,23.66,25.46,43.43,28.77,53.02
"AARON.MILLER","2007-2017","VAN","D",57,987.62,1,6,7,2,0.43,0.12,2.93,0.18,634,951,-317,40,-10.12,32,48,-16,40,-16.44,31.53,41.91,-10.38,42.93,-8.99,11,4,-7,68,4.13,1.58,0.1,3.7,99.83,35.01,28.67,Inf,44.61,Inf,55.33
"AARON.NESS","2007-2017","NYI/WSH","D",39,573.09,1,3,4,1,0.42,0.1,3.22,0.34,505,575,-70,46.76,-2.57,13,26,-13,33.33,-12.42,20.94,25.16,-4.22,45.42,-5.53,7,3,-4,86,9,2.11,0.22,2.7,97.05,55,24.42,26.9,48.6,29,50.35
"AARON.PALUSHAJ","2007-2017","MTL/COL/CAR","R",68,614.63,2,11,13,6,1.27,0.59,18.91,1.85,619,544,75,53.22,5.67,22,23,-1,48.89,1.17,22.27,21.14,1.13,51.3,5.31,11,19,8,128,12.5,4.56,0.45,2.86,99,50.15,15.4,28.37,49.18,28.34,48.21
"AARON.ROME","2007-2017","CBJ/VAN/DAL","D",225,3547.56,6,21,27,17,0.46,0.29,32.78,0.55,2971,3267,-296,47.63,-5.42,123,167,-44,42.41,-14.06,129.98,151.42,-21.44,46.19,-6.15,66,28,-38,457,7.73,9.45,0.16,3.11,98.48,43.43,26.28,27.97,50.17,30.15,51.91
"AARON.VOLPATTI","2007-2017","VAN/WSH","L",114,904.99,5,2,7,7,0.46,0.46,-1.38,-0.09,635,822,-187,43.58,-8.28,17,25,-8,40.48,-15.78,23.47,29.05,-5.58,44.69,-5.96,39,25,-14,131,8.69,5.37,0.36,7.94,99.15,44.42,13.54,26.76,48.53,27.56,48.61
