"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"AARON.EKBLAD","2007-2017","FLA","D",227,625.51,12,16,28,16,2.69,1.53,28.18,2.7,992,114,878,89.69,1.26,62,10,52,86.11,-3.12,68.26,9.13,59.13,88.2,0.74,4,0,-4,271,25.99,10.52,1.01,8.82,98.18,93.4,51.73,43.26,85.59,37.08,11.62
"AARON.JOHNSON","2007-2017","NYI/CHI/CGY/EDM/CBJ/BOS","D",175,153.29,1,3,4,2,1.57,0.78,3.79,1.48,194,31,163,86.22,-2.6,12,0,12,100,12.61,11.13,2.02,9.11,84.64,-5.04,3,2,-1,40,15.66,1.05,0.41,5.88,112.5,86.36,13.65,37.76,86.18,34.08,12.28
"AARON.ROME","2007-2017","CBJ/VAN/DAL","D",225,94.39,1,3,4,3,2.54,1.91,4.03,2.56,122,15,107,89.05,-0.28,10,1,9,90.91,-3.5,8.32,0.66,7.66,92.65,2.48,3,2,-1,33,20.98,1.2,0.76,5.26,99.23,85.14,7.55,34.93,86.99,34.65,13.19
"AARON.VOROS","2007-2017","MIN/NYR/ANA","L",160,153.84,4,1,5,5,1.95,1.95,5.08,1.98,253,37,216,87.24,-1.13,13,5,8,72.22,-15.16,17.14,2.42,14.72,87.63,-1.98,5,1,-4,41,15.99,5.35,2.09,15.38,91.42,90.32,15.97,42.27,88.45,36.07,12.65
"AARON.WARD","2007-2017","BOS/CAR/ANA","D",163,74.08,0,2,2,0,1.62,0,1.79,1.45,84,17,67,83.17,-5.24,4,1,3,80,-13.02,5.09,1.06,4.03,82.76,-8.16,1,0,-1,15,12.15,0.9,0.73,0,99.8,87.04,7.33,37.46,87.04,35.19,14.17
"ADAM.BURISH","2007-2017","CHI/DAL/S.J","R",367,71.76,1,2,3,2,2.51,1.67,2.14,1.79,84,16,68,84,-3.73,7,0,7,100,11.07,5.11,0.58,4.53,89.81,1.46,1,0,-1,6,5.02,0.81,0.68,33.33,116.67,84.42,3.17,33.83,83.78,34.84,12.73
"ADAM.CLENDENING","2007-2017","CHI/VAN/PIT/EDM/NYR","D",81,111.4,2,3,5,3,2.69,1.62,3.88,2.09,144,22,122,86.75,-3.02,7,1,6,87.5,-6.79,10.17,1.59,8.58,86.48,-1.37,1,0,-1,27,14.54,0.82,0.44,25,102.08,85.71,27.96,39.53,85.88,36.99,11.91
"ADAM.FOOTE","2007-2017","CBJ/COL","D",231,63.59,0,1,1,0,0.94,0,0.82,0.77,67,13,54,83.75,-4.94,2,1,1,66.67,-23.75,3.24,0.53,2.71,85.94,-4.88,0,0,0,12,11.32,0.21,0.2,0,96.06,80,4.36,32.13,86.29,33.5,13.56
"ADAM.HENRIQUE","2007-2017","N.J","C",431,925.96,27,34,61,46,3.95,2.98,50.4,3.27,1238,203,1035,85.91,-1.45,91,18,73,83.49,-2.66,86.51,17.5,69.01,83.17,-3.05,7,5,-2,187,12.12,20.57,1.33,23.08,101.36,90.83,42.96,43.29,84.58,37.06,12.02
"ADAM.LARSSON","2007-2017","N.J/EDM","D",353,168.41,0,4,4,3,1.43,1.07,3.59,1.28,199,42,157,82.57,-6.35,9,3,6,75,-12.38,12.56,3.17,9.39,79.85,-7.7,1,0,-1,36,12.83,0.82,0.29,0,98.11,88.57,9.5,48.36,85.61,36.87,12.03
